player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,fastest_serve,avg_1st_serve,avg_2nd_serve,short_rallies_pts_won,medium_rallies_pts_won,long_rallies_pts_won,medium_rallies_pts_played,short_rallies_pts_played,long_rallies_pts_played
A.Bogdan,P.Badosa,french_open,2021,3,237,3,5,87/127 (69%),50/87 (57%),18/40 (45%),4/7 (57%),7/14 (50%),53/110 (48%),37,49,121,113 mph,98 mph,79 mph,53,37,30,91,76,69
A.Barty,M.Linette,french_open,2021,2,65,2,4,13/33 (39%),10/13 (77%),8/20 (40%),1/2 (50%),0/1 (0%),7/32 (22%),9,18,25,109 mph,101 mph,82 mph,13,6,6,37,16,11
M.Linette,A.Barty,french_open,2021,2,65,4,0,23/32 (72%),19/23 (83%),6/9 (67%),1/1 (100%),2/7 (29%),15/33 (45%),12,9,40,105 mph,95 mph,79 mph,24,10,5,37,16,11
A.Sharma,O.Jabeur,french_open,2021,2,110,0,1,42/62 (68%),26/42 (62%),7/20 (35%),13/21 (62%),1/1 (100%),14/48 (29%),10,19,47,109 mph,96 mph,76 mph,32,11,4,75,25,9
O.Jabeur,A.Sharma,french_open,2021,2,110,2,1,27/48 (56%),19/27 (70%),15/21 (71%),5/6 (83%),4/11 (36%),29/62 (47%),24,18,63,105 mph,96 mph,77 mph,43,14,5,75,25,9
C.Gauff,Q.Wang,french_open,2021,2,142,1,5,56/77 (73%),35/56 (63%),11/21 (52%),11/13 (85%),4/8 (50%),29/65 (45%),23,34,75,118 mph,93 mph,87 mph,38,26,11,78,43,20
Q.Wang,C.Gauff,french_open,2021,2,142,1,0,39/65 (60%),25/39 (64%),11/26 (42%),3/10 (30%),3/10 (30%),31/77 (40%),19,25,67,106 mph,95 mph,75 mph,40,17,9,78,43,20
F.Ferro,J.Brady,french_open,2021,2,181,0,3,62/97 (64%),35/62 (56%),16/35 (46%),3/4 (75%),6/8 (75%),37/84 (44%),25,40,88,108 mph,90 mph,77 mph,52,22,14,94,61,26
J.Brady,F.Ferro,french_open,2021,2,181,4,6,43/84 (51%),26/43 (60%),21/41 (51%),4/6 (67%),6/7 (86%),46/97 (47%),28,33,93,114 mph,100 mph,79 mph,42,39,12,94,61,26
Ka.Pliskova,S.Stephens,french_open,2021,2,134,1,5,35/61 (57%),18/35 (51%),10/26 (38%),8/11 (73%),2/7 (29%),29/73 (40%),17,38,57,114 mph,103 mph,83 mph,28,19,9,73,40,20
