player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,distance_per_pt,avg_1st_serve,avg_2nd_serve,avg_serve_overall,fastest_1st_serve,fastest_2nd_serve,return_winners,approach_winners,approach_forced_errors,approach_unforced_errors,drop_shot_winners,drop_shot forced_errors,drop_shot unforced_errors,ground_stroke_winners,ground_stroke_forced_errors,ground_stroke_unforced_errors,lob_winners,lob_forced_errors,lob_unforced_errors,overhead_winners,overhead_forced_errors,overhead_unforced_errors,passing_winners,passing_forced_errors,passing_unforced_errors,volley_winners,volley_forced_errors,volley_unforced_errors
E. RYBAKINA,K. MLADENOVIC,wimbledon,2021,1,88,7,1,26/40 (65%),23/26 (88%),9/14 (64%),3/4 (75%),4/10 (40%),23/48 (48%),20,16,55,20.9 m68.7 ft,6,1,7,2,0,2,1,0,0,1,0,1,9,2,14,0,0,0,0,0,0,0,0,0,0,0,0
E. ALEXANDROVA,L. SIEGEMUND,wimbledon,2021,1,88,5,2,25/42 (60%),22/25 (88%),11/17 (65%),3/4 (75%),4/6 (67%),23/46 (50%),25,18,56,21.2 m69.6 ft,5,0,5,0,1,6,0,0,0,0,0,0,16,2,16,0,0,0,1,0,0,1,0,0,1,0,0
L. SIEGEMUND,E. ALEXANDROVA,wimbledon,2021,1,88,1,2,30/46 (65%),16/30 (53%),7/16 (44%),4/7 (57%),0/3 (0%),9/42 (21%),7,22,32,21.4 m70.1 ft,1,0,1,0,0,0,2,0,2,0,0,1,2,5,17,0,0,0,0,0,0,1,0,0,1,0,0
M. OSORIO SERRANO,A. KALINSKAYA,wimbledon,2021,1,147,2,7,60/85 (71%),34/60 (57%),11/25 (44%),12/14 (86%),6/8 (75%),29/62 (47%),18,26,74,24.4 m80.0 ft,2,0,2,0,0,0,0,1,0,3,1,2,5,10,17,3,0,0,1,0,0,3,4,0,1,0,0
A. KALINSKAYA,M. OSORIO SERRANO,wimbledon,2021,1,147,1,2,38/62 (61%),22/38 (58%),11/24 (46%),14/24 (58%),5/13 (38%),40/85 (47%),19,31,73,24.6 m80.9 ft,1,0,1,0,0,2,1,0,1,2,0,0,13,10,28,0,0,0,0,1,0,0,2,0,2,0,0
D. LAO,K. BOULTER,wimbledon,2021,1,192,2,2,74/101 (73%),41/74 (55%),16/27 (59%),16/26 (62%),2/3 (67%),28/91 (31%),23,31,85,24.5 m80.3 ft,2,0,2,0,0,1,0,0,1,0,0,0,5,15,26,1,0,0,1,0,0,4,2,1,10,2,1
K. BOULTER,D. LAO,wimbledon,2021,1,192,4,3,54/91 (59%),42/54 (78%),21/37 (57%),12/25 (48%),4/9 (44%),44/101 (44%),37,29,107,23.1 m75.8 ft,4,0,4,3,0,3,1,2,4,2,0,1,14,8,19,1,0,0,1,0,0,5,2,2,6,0,0
M. NICULESCU,A. SABALENKA,wimbledon,2021,1,115,0,0,51/59 (86%),20/51 (39%),5/8 (63%),6/10 (60%),2/3 (67%),20/56 (36%),8,5,45,23.5 m77.3 ft,0,0,0,0,0,1,0,0,0,1,0,1,0,5,3,0,0,1,2,0,0,2,3,0,3,1,0
A. SABALENKA,M. NICULESCU,wimbledon,2021,1,115,6,3,31/56 (55%),21/31 (68%),15/25 (60%),16/22 (73%),5/11 (45%),34/59 (58%),48,30,70,20.9 m68.5 ft,5,1,6,1,0,15,0,0,1,3,0,2,30,2,22,0,0,0,2,0,1,1,1,0,5,0,1
A. BARTY,A. BLINKOVA,wimbledon,2021,2,140,5,9,39/74 (53%),27/39 (69%),14/35 (40%),9/12 (75%),6/15 (40%),36/66 (55%),33,33,77,24.6 m80.7 ft,5,0,5,0,0,0,3,0,1,2,0,0,16,11,23,1,1,0,0,0,0,4,1,0,2,0,0
A. BLINKOVA,A. BARTY,wimbledon,2021,2,140,1,2,38/66 (58%),19/38 (50%),11/28 (39%),6/13 (46%),3/8 (38%),33/74 (45%),12,21,63,23.8 m78.2 ft,1,0,1,0,0,1,0,0,1,1,0,0,5,16,18,0,0,0,2,0,0,1,2,0,2,0,0
C. VANDEWEGHE,K. SINIAKOVA,wimbledon,2021,2,168,8,4,47/85 (55%),33/47 (70%),16/38 (42%),22/34 (65%),1/4 (25%),26/83 (31%),32,33,75,19.7 m64.6 ft,8,0,8,1,0,2,5,0,5,0,0,0,8,11,22,0,0,0,1,0,0,1,3,0,8,1,2
K. SINIAKOVA,C. VANDEWEGHE,wimbledon,2021,2,168,3,8,43/83 (52%),34/43 (79%),23/40 (57%),8/14 (57%),4/10 (40%),36/85 (42%),19,14,93,20.9 m68.5 ft,3,0,3,0,2,2,0,0,1,3,0,1,4,12,4,0,0,0,0,0,0,3,5,0,4,1,0
M. KOSTYUK,A. SEVASTOVA,wimbledon,2021,2,167,2,2,47/75 (63%),31/47 (66%),11/28 (39%),11/19 (58%),5/11 (45%),41/92 (45%),23,30,83,27.1 m88.8 ft,2,0,2,0,0,2,1,0,4,6,0,1,4,19,22,1,1,0,2,0,1,3,4,0,4,0,0
A. SEVASTOVA,M. KOSTYUK,wimbledon,2021,2,167,1,4,54/92 (59%),31/54 (57%),20/38 (53%),13/23 (57%),5/7 (71%),33/75 (44%),18,31,84,26.7 m87.7 ft,1,0,1,2,0,0,7,1,1,1,1,3,7,11,21,0,3,0,0,0,1,0,2,0,0,0,1
A. PETKOVIC,B. KREJCIKOVA,wimbledon,2021,2,122,3,3,40/61 (66%),27/40 (68%),9/21 (43%),6/10 (60%),2/6 (33%),19/61 (31%),12,19,55,21.6 m70.8 ft,3,0,3,0,0,2,2,0,0,0,0,0,5,14,15,0,0,0,1,0,1,1,0,0,0,0,0
B. KREJCIKOVA,A. PETKOVIC,wimbledon,2021,2,122,4,3,39/61 (64%),29/39 (74%),13/22 (59%),6/9 (67%),4/5 (80%),25/61 (41%),24,28,67,20.4 m67.1 ft,3,1,4,1,0,2,1,0,1,2,0,0,11,3,24,0,0,0,0,0,0,2,2,0,3,1,0
V. AZARENKA,S. CIRSTEA,wimbledon,2021,2,206,9,9,63/109 (58%),41/63 (65%),21/46 (46%),10/17 (59%),5/8 (63%),40/97 (41%),35,30,102,25.7 m84.3 ft,8,1,9,0,0,5,0,1,1,0,0,0,15,21,20,0,1,0,1,0,0,4,4,0,6,0,0
S. CIRSTEA,V. AZARENKA,wimbledon,2021,2,206,3,3,58/97 (60%),40/58 (69%),17/39 (44%),12/17 (71%),5/16 (31%),47/109 (43%),29,22,104,24.9 m81.8 ft,3,0,3,1,1,3,4,0,0,0,0,0,15,21,19,0,0,0,2,0,0,3,1,0,0,1,0
E. RADUCANU,M. VONDROUSOVA,wimbledon,2021,2,118,0,4,43/63 (68%),34/43 (79%),7/20 (35%),7/11 (64%),4/7 (57%),25/55 (45%),14,20,66,24.1 m79.0 ft,0,0,0,0,0,2,1,0,0,1,0,0,10,8,14,0,0,0,1,0,1,0,2,0,1,1,1
M. VONDROUSOVA,E. RADUCANU,wimbledon,2021,2,118,2,5,31/55 (56%),19/31 (61%),11/24 (46%),6/6 (100%),1/6 (17%),22/63 (35%),14,25,52,25.0 m81.9 ft,2,0,2,1,0,1,0,0,0,2,0,5,7,14,15,0,0,0,1,0,0,0,2,0,1,0,0
D. KASATKINA,J. OSTAPENKO,wimbledon,2021,2,181,2,7,55/92 (60%),26/55 (47%),12/37 (32%),1/4 (25%),8/15 (53%),44/89 (49%),11,24,82,24.5 m80.3 ft,2,0,2,0,0,3,0,0,1,0,0,2,8,18,14,1,0,0,0,0,0,0,2,0,0,0,0
J. OSTAPENKO,D. KASATKINA,wimbledon,2021,2,181,3,4,53/89 (60%),29/53 (55%),16/36 (44%),10/13 (77%),10/12 (83%),54/92 (59%),48,48,99,21.9 m71.8 ft,2,1,3,0,0,13,0,0,0,2,0,4,36,14,38,0,0,0,0,0,1,0,0,0,7,0,1
A. TOMLJANOVIC,A. CORNET,wimbledon,2021,2,178,1,4,64/88 (73%),42/64 (66%),7/24 (29%),11/23 (48%),4/13 (31%),38/90 (42%),23,37,87,28.7 m94.3 ft,1,0,1,0,0,1,3,0,1,0,0,0,11,14,30,0,1,1,2,0,0,3,3,1,3,2,0
A. CORNET,A. TOMLJANOVIC,wimbledon,2021,2,178,4,5,57/90 (63%),39/57 (68%),13/33 (39%),9/14 (64%),5/9 (56%),39/88 (44%),24,31,91,28.4 m93.1 ft,4,0,4,0,0,2,0,0,0,2,0,2,9,19,22,0,0,0,1,0,0,6,1,2,2,0,0
E. SVITOLINA,M. LINETTE,wimbledon,2021,2,110,3,0,39/56 (70%),28/39 (72%),5/17 (29%),4/8 (50%),1/2 (50%),15/54 (28%),8,14,48,24.2 m79.5 ft,3,0,3,1,0,0,1,0,0,0,0,1,2,12,13,0,1,0,0,0,0,0,2,0,1,0,0
M. LINETTE,E. SVITOLINA,wimbledon,2021,2,110,2,3,31/54 (57%),23/31 (74%),16/23 (70%),8/9 (89%),3/9 (33%),23/56 (41%),28,15,62,23.9 m78.3 ft,2,0,2,3,1,2,2,0,0,1,0,1,14,7,10,0,0,0,0,0,0,3,2,0,2,0,1
Y. PUTINTSEVA,P. BADOSA,wimbledon,2021,2,109,0,1,32/55 (58%),17/32 (53%),10/23 (43%),4/8 (50%),2/3 (67%),20/54 (37%),9,11,47,27.1 m88.8 ft,0,0,0,0,0,0,2,1,0,1,1,1,3,16,9,0,0,0,0,0,0,3,2,0,0,1,0
P. BADOSA,Y. PUTINTSEVA,wimbledon,2021,2,109,2,8,36/54 (67%),28/36 (78%),6/18 (33%),5/9 (56%),5/9 (56%),28/55 (51%),20,13,62,26.3 m86.3 ft,2,0,2,2,1,1,2,0,1,0,0,1,11,14,3,0,0,0,0,0,0,2,1,0,0,0,0
K. MUCHOVA,C. GIORGI,wimbledon,2021,2,192,11,1,58/94 (62%),38/58 (66%),19/36 (53%),5/9 (56%),6/14 (43%),45/98 (46%),23,24,102,22.6 m74.2 ft,11,0,11,1,0,0,1,0,0,2,0,1,4,12,22,1,1,0,1,0,0,1,1,0,1,3,0
C. GIORGI,K. MUCHOVA,wimbledon,2021,2,192,2,10,55/98 (56%),35/55 (64%),18/43 (42%),20/28 (71%),4/8 (50%),37/94 (39%),36,46,90,21.9 m72.0 ft,2,0,2,0,0,1,2,0,3,0,0,0,17,12,31,0,0,0,3,0,1,0,1,0,12,1,1
KR. PLISKOVA,A. PAVLYUCHENKOVA,wimbledon,2021,2,112,2,3,35/60 (58%),21/35 (60%),11/25 (44%),4/6 (67%),2/8 (25%),18/52 (35%),17,21,50,22.3 m73.2 ft,1,1,2,0,0,0,0,0,0,1,0,1,11,8,15,1,0,1,0,0,0,0,1,1,2,0,0
A. PAVLYUCHENKOVA,KR. PLISKOVA,wimbledon,2021,2,112,3,3,35/52 (67%),27/35 (77%),7/17 (41%),11/14 (79%),5/14 (36%),28/60 (47%),23,16,62,22.4 m73.5 ft,3,0,3,0,0,1,0,0,1,2,0,1,13,9,10,0,0,0,2,0,0,1,1,1,2,0,0
K. JUVAN,C. BUREL,wimbledon,2021,2,118,0,0,30/57 (53%),20/30 (67%),17/27 (63%),16/27 (59%),4/9 (44%),30/61 (49%),15,18,67,22.3 m73.1 ft,0,0,0,1,0,3,0,1,2,0,0,2,5,6,13,0,1,0,2,0,0,0,3,0,7,1,1
C. BUREL,K. JUVAN,wimbledon,2021,2,118,0,6,23/61 (38%),16/23 (70%),15/38 (39%),9/18 (50%),2/3 (67%),20/57 (35%),15,31,51,23.2 m76.0 ft,0,0,0,2,0,3,1,1,0,1,0,1,7,9,21,0,0,0,0,0,0,2,6,0,2,2,3
E. VESNINA,C. GAUFF,wimbledon,2021,2,112,4,4,35/52 (67%),23/35 (66%),7/17 (41%),8/11 (73%),1/3 (33%),22/60 (37%),13,19,52,20.4 m67.0 ft,4,0,4,1,0,2,3,0,1,0,0,1,3,6,13,0,0,0,0,0,0,1,1,0,1,0,0
C. GAUFF,E. VESNINA,wimbledon,2021,2,112,9,5,39/60 (65%),30/39 (77%),8/21 (38%),3/5 (60%),4/7 (57%),22/52 (42%),19,14,60,21.6 m71.0 ft,9,0,9,1,0,2,1,0,1,1,0,0,4,10,6,0,1,0,1,0,0,1,2,1,1,0,1
A. KERBER,S. SORRIBES TORMO,wimbledon,2021,2,223,1,2,80/111 (72%),50/80 (63%),12/31 (39%),5/14 (36%),8/14 (57%),56/112 (50%),47,47,118,37.7 m123.7 ft,1,0,1,0,0,0,1,0,0,5,0,6,27,14,38,3,3,0,0,0,1,7,8,0,3,0,0
S. SORRIBES TORMO,A. KERBER,wimbledon,2021,2,223,0,3,68/112 (61%),34/68 (50%),22/44 (50%),31/52 (60%),7/20 (35%),49/111 (44%),30,32,105,41.6 m136.5 ft,0,0,0,0,0,1,0,1,2,3,1,3,9,23,23,1,2,0,0,0,1,2,0,0,15,3,0
N. HIBINO,A. SASNOVICH,wimbledon,2021,2,152,2,5,44/70 (63%),28/44 (64%),9/26 (35%),7/9 (78%),4/7 (57%),35/82 (43%),13,22,72,24.2 m79.5 ft,2,0,2,0,0,0,0,0,0,0,1,1,7,12,16,0,2,0,3,0,0,0,1,0,1,1,0
A. SASNOVICH,N. HIBINO,wimbledon,2021,2,152,3,4,54/82 (66%),33/54 (61%),14/28 (50%),12/19 (63%),5/9 (56%),33/70 (47%),27,30,80,22.9 m75.1 ft,2,1,3,1,0,2,6,0,1,3,0,1,10,10,23,0,3,0,1,0,0,0,0,1,3,3,0
KA. PLISKOVA,D. VEKIC,wimbledon,2021,2,106,5,4,28/46 (61%),26/28 (93%),9/18 (50%),4/4 (100%),4/11 (36%),30/60 (50%),23,7,65,22.7 m74.4 ft,5,0,5,1,0,3,0,0,0,0,0,0,12,6,3,0,0,0,0,0,0,2,1,0,3,0,0
D. VEKIC,KA. PLISKOVA,wimbledon,2021,2,106,2,3,36/60 (60%),23/36 (64%),7/24 (29%),8/12 (67%),0/0 (0%),11/46 (24%),21,19,41,22.1 m72.6 ft,1,1,2,1,0,0,0,0,0,3,0,0,12,16,16,0,0,0,0,0,0,0,0,0,3,0,0
N. PODOROSKA,T. MARTINCOVA,wimbledon,2021,2,191,5,7,53/87 (61%),37/53 (70%),14/34 (41%),18/27 (67%),1/15 (7%),41/104 (39%),35,46,92,27.9 m91.4 ft,5,0,5,0,0,1,5,0,2,5,1,1,12,10,35,0,0,0,0,0,0,3,3,1,5,2,0
T. MARTINCOVA,N. PODOROSKA,wimbledon,2021,2,191,0,3,80/104 (77%),50/80 (63%),13/24 (54%),12/21 (57%),2/9 (22%),36/87 (41%),20,23,99,27.6 m90.7 ft,0,0,0,0,0,1,1,0,2,0,1,2,9,16,16,1,0,0,2,0,0,3,6,0,4,0,0
J. PEGULA,L. SAMSONOVA,wimbledon,2021,2,211,4,6,76/120 (63%),48/76 (63%),22/44 (50%),9/14 (64%),2/5 (40%),33/91 (36%),20,27,103,22.0 m72.1 ft,3,1,4,2,0,2,1,0,1,1,0,0,8,20,20,0,1,0,0,0,0,2,1,0,2,0,0
L. SAMSONOVA,J. PEGULA,wimbledon,2021,2,211,3,6,47/91 (52%),38/47 (81%),20/44 (45%),10/15 (67%),3/10 (30%),50/120 (42%),36,51,108,20.4 m67.0 ft,3,0,3,3,0,4,2,0,1,1,0,0,19,9,40,1,0,0,0,0,0,2,3,2,5,0,2
K. AHN,S. STEPHENS,wimbledon,2021,2,142,0,3,57/80 (71%),26/57 (46%),13/23 (57%),13/15 (87%),3/11 (27%),26/62 (42%),17,20,65,30.0 m98.4 ft,0,0,0,0,0,0,0,0,1,0,0,1,10,19,15,1,0,0,3,0,0,1,1,0,2,1,0
S. STEPHENS,K. AHN,wimbledon,2021,2,142,3,2,37/62 (60%),22/37 (59%),14/25 (56%),7/11 (64%),6/12 (50%),41/80 (51%),26,28,77,28.6 m93.7 ft,3,0,3,1,0,0,1,0,1,0,0,0,15,10,25,0,0,0,0,0,0,0,5,0,6,0,0
E. MERTENS,L. ZHU,wimbledon,2021,2,86,5,3,25/38 (66%),19/25 (76%),7/13 (54%),10/13 (77%),6/12 (50%),29/48 (60%),22,12,55,28.4 m93.0 ft,5,0,5,0,1,0,1,0,0,1,0,2,6,8,6,0,0,0,2,0,0,1,4,0,5,0,1
L. ZHU,E. MERTENS,wimbledon,2021,2,86,0,2,30/48 (63%),12/30 (40%),7/18 (39%),6/8 (75%),1/1 (100%),12/38 (32%),5,15,31,29.3 m96.2 ft,0,0,0,0,0,0,0,0,0,1,0,0,3,10,13,0,1,0,0,0,0,0,0,0,1,1,0
L. DAVIS,M. KEYS,wimbledon,2021,2,106,1,2,33/54 (61%),18/33 (55%),9/21 (43%),5/8 (63%),1/3 (33%),17/52 (33%),11,9,44,21.0 m68.9 ft,1,0,1,0,0,3,0,2,0,1,0,0,5,19,6,0,0,0,0,0,0,1,0,0,3,0,1
