player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,distance_per_pt,avg_1st_serve,avg_2nd_serve,avg_serve_overall,fastest_1st_serve,fastest_2nd_serve,return_winners,approach_winners,approach_forced_errors,approach_unforced_errors,drop_shot_winners,drop_shot forced_errors,drop_shot unforced_errors,ground_stroke_winners,ground_stroke_forced_errors,ground_stroke_unforced_errors,lob_winners,lob_forced_errors,lob_unforced_errors,overhead_winners,overhead_forced_errors,overhead_unforced_errors,passing_winners,passing_forced_errors,passing_unforced_errors,volley_winners,volley_forced_errors,volley_unforced_errors
A. BARTY,C. SUAREZ NAVARRO,wimbledon,2021,1,159,13,3,56/84 (67%),49/56 (88%),11/28 (39%),15/20 (75%),5/5 (100%),33/75 (44%),38,36,93,27.5 m90.2 ft,13,0,13,0,0,0,1,0,0,0,0,2,13,11,27,0,2,0,3,0,1,3,2,1,5,1,2
C. SUAREZ NAVARRO,A. BARTY,wimbledon,2021,1,159,0,0,48/75 (64%),23/48 (48%),19/27 (70%),7/11 (64%),1/4 (25%),24/84 (29%),12,20,66,27.5 m90.1 ft,0,0,0,0,0,3,0,0,0,0,0,0,11,15,18,0,0,0,0,0,0,0,3,1,1,0,1
A. BLINKOVA,T. BABOS,wimbledon,2021,1,104,1,8,31/58 (53%),24/31 (77%),15/27 (56%),8/10 (80%),4/7 (57%),24/46 (52%),21,19,63,17.4 m57.1 ft,1,0,1,1,0,3,2,0,1,2,0,1,10,1,6,1,0,0,1,0,0,1,0,2,2,0,1
T. BABOS,A. BLINKOVA,wimbledon,2021,1,104,2,4,21/46 (46%),16/21 (76%),6/25 (24%),9/13 (69%),0/5 (0%),19/58 (33%),10,21,41,18.7 m61.5 ft,2,0,2,0,0,1,0,0,0,0,0,1,5,4,16,0,0,0,0,1,0,0,0,0,3,0,0
O. GOVORTSOVA,C. VANDEWEGHE,wimbledon,2021,1,103,0,3,37/52 (71%),21/37 (57%),6/15 (40%),2/4 (50%),1/1 (100%),17/51 (33%),10,14,44,23.1 m75.9 ft,0,0,0,0,0,1,0,0,1,1,0,0,7,8,10,1,0,0,0,0,0,0,0,0,1,0,0
C. VANDEWEGHE,O. GOVORTSOVA,wimbledon,2021,1,103,5,4,26/51 (51%),20/26 (77%),14/25 (56%),9/11 (82%),4/4 (100%),25/52 (48%),26,16,59,22.2 m73.0 ft,5,0,5,0,0,3,2,0,0,0,0,0,13,6,11,0,0,0,1,0,1,1,1,0,4,1,0
K. SINIAKOVA,Y. WANG,wimbledon,2021,1,87,4,5,24/50 (48%),19/24 (79%),14/26 (54%),8/13 (62%),5/7 (71%),24/37 (65%),24,17,57,23.8 m78.0 ft,4,0,4,1,0,0,2,0,0,1,0,0,13,3,12,0,0,0,1,0,0,0,1,0,2,1,0
Y. WANG,K. SINIAKOVA,wimbledon,2021,1,87,0,4,17/37 (46%),7/17 (41%),6/20 (30%),3/7 (43%),0/1 (0%),17/50 (34%),6,20,30,27.0 m88.7 ft,0,0,0,0,0,0,0,1,1,0,1,1,2,8,12,0,0,1,1,0,0,3,0,1,0,0,0
K. BERTENS,M. KOSTYUK,wimbledon,2021,1,146,0,5,49/72 (68%),28/49 (57%),14/23 (61%),15/26 (58%),0/6 (0%),24/74 (32%),19,38,66,23.4 m76.8 ft,0,0,0,1,1,0,2,0,3,2,0,3,6,2,23,0,0,0,1,0,1,2,8,1,4,1,2
M. KOSTYUK,K. BERTENS,wimbledon,2021,1,146,4,5,45/74 (61%),36/45 (80%),14/29 (48%),19/26 (73%),2/6 (33%),30/72 (42%),18,18,80,24.3 m79.8 ft,4,0,4,1,0,0,3,0,0,2,0,0,2,7,12,0,0,0,1,0,0,3,6,1,2,3,0
A. SEVASTOVA,Z. DIYAS,wimbledon,2021,1,115,3,1,30/53 (57%),22/30 (73%),12/23 (52%),5/7 (71%),5/11 (45%),31/62 (50%),21,14,65,26.6 m87.4 ft,3,0,3,0,0,1,0,1,0,4,1,1,6,10,12,0,0,0,2,0,0,3,4,0,3,0,0
Z. DIYAS,A. SEVASTOVA,wimbledon,2021,1,115,0,3,44/62 (71%),23/44 (52%),8/18 (44%),11/18 (61%),1/5 (20%),19/53 (36%),14,22,50,25.8 m84.5 ft,0,0,0,0,0,2,2,0,2,1,0,0,6,10,15,1,0,0,1,0,0,0,0,0,3,0,2
A. PETKOVIC,J. PAOLINI,wimbledon,2021,1,110,6,1,35/50 (70%),23/35 (66%),8/15 (53%),5/7 (71%),6/10 (60%),32/60 (53%),18,16,63,20.8 m68.2 ft,6,0,6,0,0,3,5,0,1,1,0,0,5,7,14,0,2,0,0,0,0,1,0,0,0,1,0
J. PAOLINI,A. PETKOVIC,wimbledon,2021,1,110,0,1,43/60 (72%),22/43 (51%),6/17 (35%),10/15 (67%),3/7 (43%),19/50 (38%),13,24,47,20.9 m68.6 ft,0,0,0,0,0,0,4,0,2,2,1,0,4,9,21,0,0,0,0,0,0,0,0,0,3,1,0
C. TAUSON,B. KREJCIKOVA,wimbledon,2021,1,110,4,5,32/51 (63%),23/32 (72%),4/19 (21%),7/11 (64%),0/5 (0%),19/59 (32%),19,26,46,21.1 m69.2 ft,3,0,3,2,0,0,2,0,2,1,0,0,4,8,18,1,0,0,0,0,0,1,0,1,4,2,0
B. KREJCIKOVA,C. TAUSON,wimbledon,2021,1,110,3,6,33/59 (56%),24/33 (73%),16/26 (62%),7/11 (64%),3/5 (60%),24/51 (47%),20,13,64,20.9 m68.5 ft,2,0,2,0,0,2,2,0,0,0,0,0,13,4,7,0,0,0,1,0,0,0,0,0,1,1,0
V. AZARENKA,K. KOZLOVA,wimbledon,2021,1,94,4,2,23/42 (55%),17/23 (74%),9/19 (47%),8/15 (53%),6/14 (43%),31/52 (60%),20,12,57,25.1 m82.4 ft,4,0,4,2,0,5,3,0,1,2,0,0,8,1,9,0,0,0,0,0,0,1,0,0,0,1,0
K. KOZLOVA,V. AZARENKA,wimbledon,2021,1,94,1,3,31/52 (60%),16/31 (52%),5/21 (24%),2/4 (50%),2/2 (100%),16/42 (38%),13,21,37,26.1 m85.5 ft,1,0,1,0,0,0,0,0,0,3,0,1,5,7,16,1,2,0,0,0,1,3,3,0,0,0,0
S. CIRSTEA,S. MURRAY SHARAN,wimbledon,2021,1,125,1,3,28/52 (54%),22/28 (79%),13/24 (54%),7/9 (78%),4/11 (36%),36/73 (49%),23,20,71,22.6 m74.0 ft,1,0,1,1,0,5,2,0,1,1,0,1,14,7,14,0,0,0,0,0,0,2,2,1,2,1,0
S. MURRAY SHARAN,S. CIRSTEA,wimbledon,2021,1,125,2,7,39/73 (53%),24/39 (62%),13/34 (38%),7/13 (54%),1/4 (25%),17/52 (33%),15,22,54,22.9 m75.3 ft,2,0,2,0,0,0,3,0,1,0,0,0,9,13,14,0,0,0,0,0,0,0,1,0,1,3,0
E. RADUCANU,V. DIATCHENKO,wimbledon,2021,1,169,6,6,47/84 (56%),34/47 (72%),15/37 (41%),6/7 (86%),6/17 (35%),46/85 (54%),21,20,95,25.7 m84.5 ft,5,1,6,2,0,2,3,0,0,2,0,0,7,20,14,0,0,0,1,0,0,0,0,0,0,0,0
V. DIATCHENKO,E. RADUCANU,wimbledon,2021,1,169,0,6,57/85 (67%),29/57 (51%),10/28 (36%),6/11 (55%),3/12 (25%),35/84 (42%),25,50,74,24.3 m79.8 ft,0,0,0,0,0,3,2,0,2,1,0,5,18,8,36,0,0,0,0,0,0,0,0,0,4,1,1
M. VONDROUSOVA,A. KONTAVEIT,wimbledon,2021,1,161,8,6,52/84 (62%),33/52 (63%),15/32 (47%),6/10 (60%),5/10 (50%),32/77 (42%),22,16,80,23.5 m77.2 ft,7,1,8,1,0,0,1,0,0,4,1,2,6,15,7,0,1,0,0,0,0,0,2,0,2,0,1
A. KONTAVEIT,M. VONDROUSOVA,wimbledon,2021,1,161,3,3,48/77 (62%),32/48 (67%),13/29 (45%),8/15 (53%),4/10 (40%),36/84 (43%),29,26,81,22.0 m72.2 ft,3,0,3,0,0,4,2,0,0,0,0,2,21,12,19,0,0,0,1,0,0,1,2,0,1,1,2
D. KASATKINA,P. TIG,wimbledon,2021,1,153,1,4,52/81 (64%),38/52 (73%),14/29 (48%),6/15 (40%),4/8 (50%),30/72 (42%),20,23,82,25.6 m84.1 ft,1,0,1,0,0,1,3,1,2,1,0,1,12,11,16,2,1,0,0,0,0,1,1,0,0,0,0
P. TIG,D. KASATKINA,wimbledon,2021,1,153,0,5,41/72 (57%),28/41 (68%),14/31 (45%),15/19 (79%),1/6 (17%),29/81 (36%),26,35,71,24.3 m79.6 ft,0,0,0,0,0,2,4,0,0,0,0,3,13,10,26,0,0,0,2,0,0,3,1,0,4,0,1
L. FERNANDEZ,J. OSTAPENKO,wimbledon,2021,1,95,2,4,32/51 (63%),13/32 (41%),7/19 (37%),2/2 (100%),1/2 (50%),16/44 (36%),8,8,36,22.7 m74.3 ft,2,0,2,0,0,1,0,0,0,1,0,0,4,28,4,0,0,0,0,0,0,0,0,0,1,0,0
J. OSTAPENKO,L. FERNANDEZ,wimbledon,2021,1,95,0,6,23/44 (52%),17/23 (74%),11/21 (52%),3/3 (100%),6/9 (67%),31/51 (61%),12,9,59,22.3 m73.1 ft,0,0,0,0,0,1,0,0,0,0,0,1,12,11,2,0,0,0,0,0,0,0,0,0,0,0,0
G. MINNEN,A. TOMLJANOVIC,wimbledon,2021,1,169,5,4,48/78 (62%),35/48 (73%),7/30 (23%),14/21 (67%),2/8 (25%),35/91 (38%),26,29,77,24.5 m80.5 ft,5,0,5,0,0,1,8,0,5,0,0,2,9,24,18,0,0,0,2,0,0,0,3,0,2,0,0
A. TOMLJANOVIC,G. MINNEN,wimbledon,2021,1,169,3,3,54/91 (59%),35/54 (65%),21/37 (57%),7/7 (100%),4/8 (50%),36/78 (46%),21,16,92,26.1 m85.5 ft,3,0,3,2,0,1,2,0,0,0,1,0,12,22,13,0,1,0,0,0,0,1,0,0,1,0,0
A. CORNET,B. ANDREESCU,wimbledon,2021,1,113,0,0,32/50 (64%),20/32 (63%),13/18 (72%),8/12 (67%),5/10 (50%),33/63 (52%),11,7,66,26.6 m87.2 ft,0,0,0,0,0,1,0,0,1,0,0,1,5,12,4,1,0,1,0,0,0,2,2,0,3,1,0
B. ANDREESCU,A. CORNET,wimbledon,2021,1,113,1,2,46/63 (73%),26/46 (57%),4/17 (24%),10/20 (50%),0/6 (0%),17/50 (34%),17,34,47,25.2 m82.6 ft,1,0,1,0,0,1,0,0,2,2,0,1,9,9,25,0,1,0,1,0,1,0,0,1,4,2,2
E. SVITOLINA,A. VAN UYTVANCK,wimbledon,2021,1,166,5,4,42/74 (57%),31/42 (74%),11/32 (34%),8/13 (62%),6/11 (55%),43/92 (47%),34,27,85,24.6 m80.8 ft,5,0,5,1,0,4,0,0,0,2,0,1,15,11,21,1,0,0,3,0,0,6,2,1,1,1,0
A. VAN UYTVANCK,E. SVITOLINA,wimbledon,2021,1,166,3,3,50/92 (54%),31/50 (62%),18/42 (43%),13/28 (46%),5/10 (50%),32/74 (43%),33,27,81,23.6 m77.4 ft,3,0,3,1,0,2,0,0,0,8,0,3,13,9,17,0,0,0,3,0,1,1,2,1,4,2,2
M. LINETTE,A. ANISIMOVA,wimbledon,2021,1,179,7,5,55/91 (60%),30/55 (55%),20/36 (56%),13/16 (81%),7/15 (47%),45/88 (51%),36,22,95,25.3 m82.8 ft,7,0,7,0,0,1,6,0,0,2,0,0,16,16,15,0,0,0,2,0,0,0,1,0,3,0,2
A. ANISIMOVA,M. LINETTE,wimbledon,2021,1,179,0,2,69/88 (78%),34/69 (49%),9/19 (47%),5/6 (83%),5/14 (36%),41/91 (45%),30,34,84,24.0 m78.9 ft,0,0,0,1,0,5,2,0,1,1,0,2,25,10,28,0,1,0,0,0,0,1,1,0,0,0,1
T. Pironkova,Y. Putintseva,wimbledon,2021,1,98,1,0,25/54 (46%),13/25 (52%),12/29 (41%),6/17 (35%),1/3 (33%),12/44 (27%),11,22,37,26.9 m,1,0,1,0,0,0,3,0,2,1,0,1,5,4,19,0,0,0,0,0,0,0,1,0,1,0,0
Y. Putintseva,T. Pironkova,wimbledon,2021,1,98,3,1,33/44 (75%),27/33 (82%),5/11 (45%),6/8 (75%),5/12 (42%),29/54 (54%),20,9,61,28.1 m,3,0,3,0,0,4,2,0,1,3,0,2,5,8,5,0,0,0,0,0,0,7,2,0,0,0,0
A. BOLSOVA,P. BADOSA,wimbledon,2021,1,175,2,7,47/87 (54%),27/47 (57%),22/40 (55%),15/21 (71%),2/8 (25%),32/88 (36%),37,38,81,24.2 m79.5 ft,2,0,2,1,1,4,3,0,1,3,0,1,18,10,28,0,0,0,1,0,0,2,3,0,6,2,1
P. BADOSA,A. BOLSOVA,wimbledon,2021,1,175,10,5,66/88 (75%),46/66 (70%),10/22 (45%),10/15 (67%),5/10 (50%),38/87 (44%),28,22,94,25.1 m82.2 ft,10,0,10,1,0,0,2,0,2,1,0,0,9,7,14,2,2,0,0,0,0,0,1,1,3,1,0
K. MUCHOVA,S. ZHANG,wimbledon,2021,1,111,6,1,44/54 (81%),35/44 (80%),4/10 (40%),9/16 (56%),4/7 (57%),26/57 (46%),26,15,65,22.5 m73.9 ft,6,0,6,2,0,3,3,0,1,3,0,2,8,8,10,0,1,0,1,0,0,0,3,0,3,1,1
S. ZHANG,K. MUCHOVA,wimbledon,2021,1,111,1,2,37/57 (65%),20/37 (54%),11/20 (55%),8/9 (89%),1/2 (50%),15/54 (28%),8,20,46,22.4 m73.6 ft,1,0,1,0,0,1,0,0,1,0,0,0,1,9,17,0,0,0,1,0,0,3,1,0,2,0,0
J. TEICHMANN,C. GIORGI,wimbledon,2021,1,95,2,6,28/51 (55%),19/28 (68%),5/23 (22%),7/13 (54%),0/3 (0%),11/44 (25%),10,20,35,23.6 m77.5 ft,2,0,2,0,0,1,0,0,1,1,0,0,4,7,11,0,0,0,0,0,0,1,1,0,2,2,2
C. GIORGI,J. TEICHMANN,wimbledon,2021,1,95,2,4,22/44 (50%),17/22 (77%),16/22 (73%),7/10 (70%),4/5 (80%),27/51 (53%),21,11,60,22.7 m74.3 ft,2,0,2,1,1,5,3,0,0,0,0,0,10,4,6,0,0,0,0,0,0,1,2,1,3,0,0
Kr. Pliskova,A. Sharma,wimbledon,2021,1,165,5,3,47/87 (54%),37/47 (79%),17/40 (43%),9/18 (50%),4/5 (80%),29/78 (37%),26,14,83,23.1 m,5,0,5,0,0,4,2,0,0,1,0,0,14,20,9,0,0,0,2,0,0,0,3,0,2,3,2
A. Sharma,Kr. Pliskova,wimbledon,2021,1,165,4,3,49/78 (63%),32/49 (65%),17/29 (59%),10/11 (91%),3/6 (50%),33/87 (38%),24,15,82,23.2 m,4,0,4,1,0,0,0,0,0,3,0,2,10,23,8,0,0,0,3,0,1,2,1,0,1,0,1
A. BOGDAN,A. PAVLYUCHENKOVA,wimbledon,2021,1,89,0,2,27/44 (61%),15/27 (56%),8/17 (47%),3/9 (33%),0/0 (0%),13/45 (29%),12,16,36,23.1 m75.6 ft,0,0,0,0,0,1,1,1,3,2,1,0,8,9,10,0,1,0,0,0,0,1,1,1,0,0,0
A. PAVLYUCHENKOVA,A. BOGDAN,wimbledon,2021,1,89,5,2,30/45 (67%),25/30 (83%),7/15 (47%),5/7 (71%),4/9 (44%),21/44 (48%),15,8,53,22.1 m72.5 ft,5,0,5,0,0,1,2,0,0,0,0,1,7,7,5,1,0,0,0,0,0,0,0,0,0,1,0
B. BENCIC,K. JUVAN,wimbledon,2021,1,129,2,6,36/67 (54%),22/36 (61%),11/31 (35%),13/21 (62%),2/7 (29%),26/62 (42%),22,28,59,22.1 m72.5 ft,2,0,2,0,0,5,1,0,1,0,0,0,13,9,21,0,2,0,0,0,0,2,1,0,4,0,0
K. JUVAN,B. BENCIC,wimbledon,2021,1,129,3,2,36/62 (58%),27/36 (75%),9/26 (35%),7/11 (64%),5/7 (71%),34/67 (51%),22,13,70,24.1 m79.0 ft,3,0,3,0,0,0,0,0,1,0,0,0,14,13,10,0,0,0,0,0,0,2,5,0,3,0,0
E. PEREZ,C. BUREL,wimbledon,2021,1,115,1,6,36/64 (56%),21/36 (58%),10/28 (36%),8/15 (53%),0/4 (0%),16/51 (31%),14,29,47,21.0 m68.9 ft,1,0,1,0,0,1,4,0,2,0,0,1,7,12,20,0,0,0,1,0,0,0,2,0,1,1,0
C. BUREL,E. PEREZ,wimbledon,2021,1,115,3,1,27/51 (53%),21/27 (78%),14/24 (58%),7/10 (70%),4/9 (44%),33/64 (52%),16,10,68,23.3 m76.5 ft,3,0,3,2,0,1,2,2,1,1,0,0,5,10,8,1,0,0,0,0,0,1,1,0,1,0,0
E. VESNINA,M. TREVISAN,wimbledon,2021,1,124,7,2,29/51 (57%),22/29 (76%),14/22 (64%),7/8 (88%),5/15 (33%),36/73 (49%),23,19,72,24.1 m78.9 ft,7,0,7,0,0,3,2,0,0,2,1,2,10,5,15,0,0,0,0,0,0,1,2,0,1,0,0
M. TREVISAN,E. VESNINA,wimbledon,2021,1,124,1,2,48/73 (66%),28/48 (58%),9/25 (36%),3/5 (60%),1/2 (50%),15/51 (29%),11,11,52,24.8 m81.4 ft,1,0,1,0,0,1,0,0,0,1,0,0,9,18,8,0,0,0,0,0,0,0,2,0,0,0,1
F. JONES,C. GAUFF,wimbledon,2021,1,137,1,2,42/74 (57%),27/42 (64%),19/32 (59%),9/14 (64%),0/0 (0%),16/63 (25%),14,25,62,22.7 m74.4 ft,1,0,1,0,0,1,3,0,0,1,0,1,4,5,22,0,1,0,1,0,0,2,1,0,2,0,0
C. GAUFF,F. JONES,wimbledon,2021,1,137,9,3,41/63 (65%),33/41 (80%),14/22 (64%),12/20 (60%),2/7 (29%),28/74 (38%),22,19,75,22.2 m73.0 ft,4,1,5,1,0,1,1,1,0,1,0,1,2,7,15,0,0,0,2,0,0,2,1,0,4,2,0
A. KERBER,N. STOJANOVIC,wimbledon,2021,1,124,0,1,25/47 (53%),20/25 (80%),15/22 (68%),0/1 (0%),4/12 (33%),36/77 (47%),11,12,71,27.4 m89.8 ft,0,0,0,0,0,1,0,0,0,0,0,1,9,6,10,1,1,0,0,0,0,1,3,0,0,0,0
N. STOJANOVIC,A. KERBER,wimbledon,2021,1,124,3,7,46/77 (60%),25/46 (54%),16/31 (52%),11/16 (69%),1/1 (100%),12/47 (26%),20,32,53,25.1 m82.3 ft,3,0,3,0,0,0,2,0,0,2,0,1,10,12,23,0,0,0,0,0,0,1,0,0,2,2,1
S. SORRIBES TORMO,A. KONJUH,wimbledon,2021,1,176,2,2,63/98 (64%),41/63 (65%),15/35 (43%),14/14 (100%),6/12 (50%),38/78 (49%),17,9,94,30.0 m98.4 ft,2,0,2,2,0,0,0,0,0,0,0,0,3,18,7,0,0,0,0,0,0,5,2,0,5,0,0
A. KONJUH,S. SORRIBES TORMO,wimbledon,2021,1,176,4,12,45/78 (58%),28/45 (62%),12/33 (36%),20/36 (56%),5/11 (45%),42/98 (43%),47,51,82,26.4 m86.7 ft,4,0,4,0,1,4,6,1,3,4,1,3,20,7,29,0,1,0,0,0,0,0,7,1,12,2,3
N. HIBINO,B. PERA,wimbledon,2021,1,199,1,8,60/94 (64%),44/60 (73%),14/34 (41%),7/11 (64%),6/12 (50%),50/105 (48%),9,22,108,23.1 m75.7 ft,1,0,1,0,0,2,1,0,0,0,0,0,4,21,13,0,2,0,2,0,0,0,1,1,1,3,0
B. PERA,N. HIBINO,wimbledon,2021,1,199,3,7,55/105 (52%),32/55 (58%),23/50 (46%),11/18 (61%),3/8 (38%),36/94 (38%),23,62,91,21.9 m72.0 ft,3,0,3,1,0,5,3,0,4,0,0,0,15,11,49,0,1,0,0,0,0,1,1,1,0,0,1
A. SASNOVICH,S. WILLIAMS,wimbledon,2021,1,42,3,0,14/22 (64%),9/14 (64%),3/8 (38%),3/4 (75%),1/1 (100%),10/20 (50%),12,3,22,14.7 m48.3 ft,2,1,3,0,0,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
S. WILLIAMS,A. SASNOVICH,wimbledon,2021,1,42,0,2,11/20 (55%),8/11 (73%),2/9 (22%),2/2 (100%),1/4 (25%),10/22 (45%),8,7,20,15.0 m49.4 ft,0,0,0,0,0,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
KA. PLISKOVA,T. ZIDANSEK,wimbledon,2021,1,126,10,4,45/66 (68%),37/45 (82%),11/21 (52%),7/11 (64%),3/3 (100%),22/60 (37%),26,24,70,20.2 m66.4 ft,9,1,10,4,0,0,2,0,1,0,1,0,6,6,16,0,0,1,0,0,0,2,4,0,2,0,2
T. ZIDANSEK,KA. PLISKOVA,wimbledon,2021,1,126,3,4,39/60 (65%),26/39 (67%),12/21 (57%),7/10 (70%),1/5 (20%),18/66 (27%),14,21,56,21.5 m70.6 ft,3,0,3,0,0,1,0,0,1,3,0,1,5,8,15,0,0,0,0,0,0,1,3,0,2,0,0
D. VEKIC,A. POTAPOVA,wimbledon,2021,1,106,2,4,41/59 (69%),26/41 (63%),11/18 (61%),3/7 (43%),5/8 (63%),23/47 (49%),17,15,60,22.4 m73.4 ft,2,0,2,1,0,3,2,0,0,0,0,2,11,16,9,0,1,0,0,0,0,1,0,0,0,1,0
A. POTAPOVA,D. VEKIC,wimbledon,2021,1,106,1,6,24/47 (51%),16/24 (67%),8/23 (35%),3/5 (60%),1/3 (33%),22/59 (37%),6,18,46,24.3 m79.7 ft,1,0,1,0,0,0,1,0,1,0,0,1,2,12,10,1,0,0,0,0,0,0,0,0,1,0,0
A. LI,N. PODOROSKA,wimbledon,2021,1,157,0,4,47/84 (56%),26/47 (55%),15/37 (41%),9/18 (50%),4/13 (31%),33/73 (45%),21,18,74,17.9 m58.8 ft,0,0,0,0,0,1,3,1,1,2,0,1,10,29,12,1,1,0,0,1,0,1,2,0,4,2,0
N. PODOROSKA,A. LI,wimbledon,2021,1,157,1,6,45/73 (62%),31/45 (69%),9/28 (32%),7/12 (58%),5/13 (38%),43/84 (51%),14,20,83,18.3 m60.0 ft,1,0,1,1,0,2,2,0,0,0,0,2,5,18,12,0,0,0,0,0,0,3,1,0,2,1,0
T. MARTINCOVA,A. RISKE,wimbledon,2021,1,170,0,1,61/85 (72%),41/61 (67%),14/24 (58%),12/17 (71%),5/16 (31%),41/85 (48%),18,21,96,26.0 m85.4 ft,0,0,0,0,0,1,5,0,1,1,0,1,7,13,18,0,1,0,1,0,0,3,3,0,1,0,0
A. RISKE,T. MARTINCOVA,wimbledon,2021,1,170,3,5,51/85 (60%),28/51 (55%),16/34 (47%),16/30 (53%),2/8 (25%),30/85 (35%),24,42,74,25.8 m84.8 ft,3,0,3,0,0,1,2,0,2,0,0,1,7,20,30,0,1,0,4,0,0,2,1,0,6,4,4
J. PEGULA,C. GARCIA,wimbledon,2021,1,103,3,1,25/44 (57%),19/25 (76%),13/19 (68%),4/5 (80%),4/8 (50%),29/59 (49%),18,10,61,20.5 m67.4 ft,0,0,0,0,0,0,2,0,1,0,0,0,8,2,8,0,0,0,0,0,0,4,1,0,1,0,0
C. GARCIA,J. PEGULA,wimbledon,2021,1,103,7,5,31/59 (53%),18/31 (58%),12/28 (43%),6/10 (60%),0/0 (0%),12/44 (27%),17,20,42,19.4 m63.8 ft,2,0,2,0,0,0,2,0,0,0,0,0,5,3,15,0,0,0,1,0,0,0,0,0,2,0,0
L. SAMSONOVA,K. KANEPI,wimbledon,2021,1,103,11,4,30/49 (61%),25/30 (83%),10/19 (53%),2/6 (33%),4/7 (57%),26/54 (48%),29,14,61,18.5 m60.7 ft,11,0,11,2,0,4,0,0,1,0,0,0,14,7,9,0,0,0,0,0,0,1,1,0,1,1,0
K. KANEPI,L. SAMSONOVA,wimbledon,2021,1,103,2,3,29/54 (54%),15/29 (52%),13/25 (52%),2/3 (67%),1/2 (50%),14/49 (29%),6,17,42,19.2 m63.1 ft,2,0,2,0,0,1,0,0,0,0,0,0,2,5,14,0,0,0,0,0,0,1,0,0,1,0,0
K. AHN,H. WATSON,wimbledon,2021,1,225,1,1,70/110 (64%),44/70 (63%),19/40 (48%),15/22 (68%),5/11 (45%),46/115 (40%),17,39,109,26.4 m86.8 ft,1,0,1,0,0,1,2,0,0,0,0,3,6,16,34,0,1,0,1,0,0,3,2,0,4,0,1
H. WATSON,K. AHN,wimbledon,2021,1,225,12,3,69/115 (60%),48/69 (70%),21/46 (46%),16/20 (80%),6/8 (75%),47/110 (43%),45,55,116,24.8 m81.2 ft,11,1,12,2,0,2,3,0,0,2,0,4,13,13,45,0,0,0,4,0,0,5,4,2,4,0,1
S. STEPHENS,P. KVITOVA,wimbledon,2021,1,116,3,2,36/61 (59%),28/36 (78%),13/25 (52%),4/6 (67%),3/5 (60%),23/55 (42%),12,14,64,23.9 m78.5 ft,3,0,3,0,1,0,1,0,0,0,0,0,5,13,11,0,1,0,0,0,0,1,2,1,1,0,0
P. KVITOVA,S. STEPHENS,wimbledon,2021,1,116,0,3,32/55 (58%),21/32 (66%),11/23 (48%),8/11 (73%),1/5 (20%),20/61 (33%),8,20,52,23.2 m76.0 ft,0,0,0,1,0,0,1,0,1,0,0,1,4,15,14,0,0,0,0,0,0,0,0,1,2,0,0
E. MERTENS,H. DART,wimbledon,2021,1,112,0,3,29/52 (56%),21/29 (72%),12/23 (52%),7/12 (58%),5/13 (38%),31/60 (52%),16,19,64,25.5 m83.6 ft,0,0,0,2,0,1,1,0,0,1,0,1,9,6,15,0,1,0,2,0,0,0,3,0,1,0,0
H. DART,E. MERTENS,wimbledon,2021,1,112,2,5,26/60 (43%),16/26 (62%),13/34 (38%),7/11 (64%),1/3 (33%),19/52 (37%),14,30,48,26.3 m86.1 ft,2,0,2,0,0,1,0,0,0,0,0,1,9,5,23,1,1,0,0,0,1,1,2,0,1,1,0
L. ZHU,M. BARTHEL,wimbledon,2021,1,213,0,6,66/96 (69%),49/66 (74%),14/30 (47%),18/31 (58%),6/13 (46%),52/117 (44%),23,25,115,26.7 m87.7 ft,0,0,0,1,0,3,1,1,0,0,0,1,7,16,17,0,3,0,0,0,0,3,2,0,11,3,1
M. BARTHEL,L. ZHU,wimbledon,2021,1,213,7,11,60/117 (51%),41/60 (68%),24/57 (42%),19/27 (70%),3/6 (50%),33/96 (34%),34,51,98,25.8 m84.6 ft,6,1,7,0,0,2,2,0,2,1,0,3,12,19,34,1,1,0,0,0,0,5,4,0,6,1,1
J. BURRAGE,L. DAVIS,wimbledon,2021,1,83,4,1,23/36 (64%),12/23 (52%),1/13 (8%),3/8 (38%),1/2 (50%),14/47 (30%),15,24,27,24.4 m80.1 ft,4,0,4,0,0,0,1,1,2,1,0,2,8,9,19,0,0,0,0,0,0,0,0,0,1,1,0
L. DAVIS,J. BURRAGE,wimbledon,2021,1,83,3,0,26/47 (55%),22/26 (85%),11/21 (52%),6/7 (86%),5/5 (100%),23/36 (64%),14,3,56,26.9 m88.3 ft,3,0,3,0,0,1,0,0,0,2,0,0,4,7,2,0,0,0,1,0,0,1,0,0,3,0,1
K. SWAN,M. KEYS,wimbledon,2021,1,123,2,4,39/65 (60%),29/39 (74%),11/26 (42%),5/9 (56%),0/0 (0%),16/58 (28%),7,25,56,19.9 m65.2 ft,2,0,2,0,0,2,0,0,1,0,0,0,3,10,19,0,0,0,0,0,0,0,0,0,2,0,1
M. KEYS,K. SWAN,wimbledon,2021,1,123,8,2,34/58 (59%),29/34 (85%),13/24 (54%),4/5 (80%),2/8 (25%),25/65 (38%),17,23,67,19.6 m64.2 ft,7,1,8,0,0,0,2,0,0,0,0,2,4,4,18,0,0,0,2,0,1,1,2,0,0,0,0
